REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,REACTOME_METABOLISM_OF_CARBOHYDRATES,REACTOME_GLYCOGEN_METABOLISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_TRANSLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,REACTOME_TRANSLATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,REACTOME_TRANSLATION,REACTOME_TRNA_AMINOACYLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,REACTOME_TRANSLATION,REACTOME_TRNA_AMINOACYLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_TRNA_AMINOACYLATION,REACTOME_TRANSLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_TRANSLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_TRANSLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_RECYCLING_OF_EIF2:GDP,REACTOME_TRANSLATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_PYRIMIDINE_CATABOLISM,REACTOME_METABOLISM_OF_NUCLEOTIDES,REACTOME_NUCLEOBASE_CATABOLISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_MITOTIC,REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C:CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_M_PHASE,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
